Sully Prudhomme; Les Vaines Tendresses ;Sully Prudhomme ;Trieste Publishing ;2017-09 ;0649030508;
Sully Prudhomme ;Sully Prudhomme ; ;1930 ; ;
Kim ;Rudyard Kipling ;Everyman Chess ;1995 ; ;
Rudyard Kipling ;Rudyard Kipling, Jan Hewitt ; ;1998 ;0760748993;
The Complete Works of Rudyard Kipling ;Rudyard Kipling ;Prabhat Prakashan ;2021-01-01 ; ;
KIM : Rudyard Kipling ;Rudyard Kipling ;Prabhat Prakashan ;1901-01-01 ; ;
The Writings in Prose and Verse of Rudyard Kipling ;Rudyard Kipling ;Palala Press ;2016-05-07 ;1355914663;
The Poetry of Rudyard Kipling ;Rudyard Kipling ; ;2012-11-27 ;1780005091;
The Day's Work ;Rudyard Kipling ; ;2021-01-13 ;9798594572027;
The Works of Rudyard Kipling, Volume 1 ;Rudyard Kipling ;Palala Press ;2015-09-01 ;1340945282;
The Works of Rudyard Kipling ;Rudyard Kipling ; ;1958 ; ;
Kim ;Rudyard Kipling ; ;2016-12-09 ;1540805999;
The Works of Rudyard Kipling ... ;Rudyard Kipling ; ;1899 ; ;
The Letters of Rudyard Kipling: 1911-19 ;Rudyard Kipling ;University of Iowa Press ;1990 ;0877456577;
"Captains courageous," a story of the Grand banks ;Rudyard Kipling ; ;1899 ; ;
The Works of Rudyard Kipling ;Rudyard Kipling ;Andesite Press ;2015-08-11 ;129865582X;
The Kipling Reader Selections from the Books of Rudyard Kipling ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2018-07-04 ;1722282606;
Rewards and Fairies ;Rudyard Kipling ;Franklin Classics ;2018-10-07 ;0341748544;
Kipling's Kingdom ;Rudyard Kipling ;Michael Joseph ;1987 ; ;
The Jungle Book by Rudyard Kipling ;Rudyard Kipling ; ;2014-07-24 ;1940177596;
The Bombay Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ;1913 ; ;
Kim / Plain Tales from the Hills ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-11-17 ;1540458997;
The Writings in Prose and Verse of Rudyard Kipling ...: In black and white ;Rudyard Kipling ; ;1897 ; ;
The Works of Rudyard Kipling. Seven Seas Edition: Actions and reactions ;Rudyard Kipling ; ;1909 ; ;
Rudyard Kipling, the Jungle Book ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2018-08-20 ;1725976765;
The Jungle Book Rudyard Kipling ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-12-02 ;1540774317;
The Jungle Book by Rudyard Kipling ;Rudyard Kipling ; ;2021-04-22 ;9798742359449;
Just So Stories BY Rudyard Kipling ;Rudyard Kipling ; ;2021-06 ;9798513312840;
The Day's Work (1898), by Rudyard Kipling ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-04-01 ;1530839874;
The Works Of Rudyard Kipling ;Rudyard Kipling ;Legare Street Press ;2022-10-27 ;101879042X;
Rudyard Kipling ;Rudyard Kipling ;Kyle Cathie Limited ;2002 ;1856264491;
Rudyard Kipling - The Years Between ;Rudyard Kipling ;Portable Poetry ;2019-06-21 ;1787806227;
Twenty Poems From Rudyard Kipling ;Rudyard Kipling ;Franklin Classics Trade Press ;2018-11-04 ;0344720667;
The Complete Supernatural Stories of Rudyard Kipling ;Rudyard Kipling ; ;1987 ; ;
Just So Stories ;Rudyard Kipling ; ;2019-08-11 ;1645940160;
The Jungle Book ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2014-11-29 ;1503332543;
A Handbook to the Poetry of Rudyard Kipling ;Durand Ralph Anthony, Rudyard Kipling ;Sagwan Press ;2015-08-27 ;1340473593;
Kim ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2015-07-25 ;1515224910;
Rudyard Kipling - Life's Handicap ;Rudyard Kipling ; ;2018-07-30 ;1787800482;
Rudyard Kipling - Actions and Reactions ;RUDYARD KIPLING. ;Miniature Masterpiece ;2019-06-24 ;1787806022;
Kim (1901) by ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-03-04 ;1530361680;
The Second Jungle Book Rudyard Kipling ;Rudyard Kipling ; ;2017-01-24 ;1542727251;
Kim ;Rudyard Kipling, J. L. Kipling ; ;2017-02-06 ;1542932289;
The writings in prose and verse of Rudyard Kipling ;Rudyard Kipling ; ;1920 ; ;
The Letters of Rudyard Kipling: 1872-89 ;Rudyard Kipling ;Iowa City, Iowa : University of Iowa Press ;1990 ; ;
Works of Rudyard Kipling ;Rudyard Kipling ; ;1924 ; ;
The Writings in Prose and Verse of Rudyard Kipling ;Rudyard Kipling ; ;1898 ; ;
The Seven Seas (1896). By: Rudyard Kipling ;Rudyard Kipling ; ;2017-01-21 ;1542675790;
The Jungle Book By Rudyard Kipling "Annotated" ;Rudyard Kipling ; ;2020-05-03 ;9798642946831;
The Seven Seas Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ;1913 ; ;
Something of Rudyard Kipling and His Works. With an Index to the Volumes Published by Macmillan & Co. [With Illustrations, Including a Portrait.]. ;Rudyard Kipling ; ;1938* ; ;
Rudyard Kipling's the Jungle Book ;Rudyard Kipling ; ;2004 ;1841353345;
Just So Stories ;Rudyard Kipling ; ;2016-12-10 ;1540842541;
The Jungle Book (1894) by ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2017-02-12 ;154306700X;
Kipling Stories and Poems Every Child Should Know ;Rudyard Kipling ;Createspace Independent Pub ;2014-12-07 ;1505417295;
Puck of Pook's Hill, 1905-1906. Rewards and fairies ;Rudyard Kipling ; ;1910 ; ;
The Jungle Book ;Rudyard Kipling ; ;2019-12-10 ;1671605578;
The Works of Rudyard Kipling. Seven Seas Edition: Wee Willie Winkie. Under the deodars. The phantom 'rickshaw and other stories ;Rudyard Kipling ; ;1899 ; ;
THE JUNGLE BOOK By Rudyard Kipling "Annotated Classic Edition" ;Rudyard Kipling ; ;2020-05-23 ;9798648205260;
The Collected Works of Rudyard Kipling ;Rudyard Kipling ; ;1941 ; ;
Kim By Rudyard Kipling Illustrated Edition ;Rudyard Kipling ; ;2020-07-27 ;9798669927868;
The Second Jungle Book (1895) by Rudyard Kipling ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-01-02 ;1523223057;
The Jungle Book By Rudyard Kipling "Annotated Volume" ;Rudyard Kipling ; ;2020-05-03 ;9798642946886;
Thy Servant, a Dog ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2018-07 ;1721859470;
Destroyers at Jutland ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2018-06-13 ;1721071881;
Just So Stories for Little Children (1902) by Rudyard Kipling ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2015-12-21 ;1522856153;
The Man Who Would Be King ;Rudyard Rudyard Kipling ; ;2017-12-17 ;1975802551;
The Rudyard Kipling Calendar ;Rudyard Kipling ; ;1933 ; ;
The Works of Rudyard Kipling Volume V ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-06-11 ;1534629777;
The Jungle Book (1894) by ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-04-01 ;1530841895;
Just So Stories ;Rudyard Kipling ;CreateSpace ;2015-03-06 ;1508763720;
Kim ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2017-02-06 ;154295391X;
John Brunner Presents Kipling's Fantasy ;Rudyard Kipling, John Brunner ;Tor Books ;1992 ;0312853548;
The Jungle Book ;Rudyard Kipling ; ;2020-08-04 ;9798672294124;
Just So Stories - For Little Children - Written and Illustrated by Rudyard Kipling ;Rudyard Kipling ;Read Books Ltd ;2018-02-02 ;9781528782685;
The Seven Seas Edition of the Works of Rudyard Kipling: From sea to sea, and other sketches ;Rudyard Kipling ; ;1913 ; ;
Puck of Pook's Hill ;Rudyard Kipling ;House of Stratus ;2009-01-02 ;9780755117338;
The Jungle Book - The Classic Story Told by Rudyard Kipling ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2018-01-27 ;1984252771;
Rudyard Kipling ;Rudyard Kipling ; ;1990 ;1107294282;
John Brunner Presents Kipling's Fantasy ;Rudyard Kipling, John Brunner ;Tor Books ;1992 ;0312853548;
The Jungle Book ;Rudyard Kipling ; ;2020-08-04 ;9798672294124;
The Man Who Would be King Illustrated ;Rudyard Kipling ; ;2020-12-28 ;9798587420816;
Just So Stories - For Little Children - Written and Illustrated by Rudyard Kipling ;Rudyard Kipling ;Read Books Ltd ;2018-02-02 ;9781528782685;
Kim ;Rudyard Kipling ; ;2020-08 ;1981466444;
The Seven Seas Edition of the Works of Rudyard Kipling: From sea to sea, and other sketches ;Rudyard Kipling ; ;1913 ; ;
The Barrack-room Ballads of Rudyard Kipling ;Rudyard Kipling ;Hearthstone Publications ;1995 ; ;
Puck of Pook's Hill ;Rudyard Kipling ;House of Stratus ;2009-01-02 ;9780755117338;
The Jungle Book - The Classic Story Told by Rudyard Kipling ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2018-01-27 ;1984252771;
The Collected Works of Rudyard Kipling ;Rudyard Kipling ; ;1941 ; ;
Actions and Reactions ;Rudyard Kipling ; ;2021-01-13 ;9798594497979;
Captains Courageous-Classic Original Edition(Annotated) ;Rudyard Kipling ; ;2021-03-13 ;9798721530876;
Report of the Speech by Mr. Rudyard Kipling ;Rudyard Kipling ; ;1925 ; ;
The Five Nations 1903 ;Rudyard Kipling ; ;2017-02-06 ;1542953685;
Life’s Handicap by Rudyard Kipling - Delphi Classics (Illustrated) ;Rudyard Kipling ;Delphi Classics ;2017-07-17 ;9781788772532;
The Jungle Book - Volume 2 ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-12-10 ;1540841596;
Captains Courageous ;Rudyard Kipling ; ;2021-04-16 ;9798736357673;
The Man Who Would Be King: Selected Stories of Rudyard Kipling ;Rudyard Kipling ;Penguin ;2011-03-03 ;0141442352;
Barrack Room Ballads ;Rudyard Kipling ; ;2020-08-22 ;9798677129148;
Just So Stories ;Rudyard Kipling ; ;2021-02-26 ;9798711197294;
Rudyard Kipling ;Rudyard Kipling ; ;1990 ;1107294282;
American Notes ;Rudyard Kipling ;Norman : University of Oklahoma Press ;1981 ;080611682X;
Tales by Rudyard Kipling ;Rudyard Kipling ; ;18?? ; ;
Rudyard Kipling's Verse ;Rudyard Kipling ;Arkose Press ;2015-10-06 ;1344092403;
Captains Courageous ;Rudyard Rudyard Kipling ; ;2017-10-23 ;1975707036;
The Works of Rudyard Kipling ;Rudyard Kipling ;Sagwan Press ;2015-08-22 ;1296965368;
Works of Rudyard Kipling: Wee Willie Winkie. Under the deodars ;Rudyard Kipling ; ;1909 ; ;
Rudyard Kipling - the Second Jungle Book ;Rudyard Kipling ; ;2016-10-11 ;153945374X;
Compact Edition of Rudyard Kipling: The phantom 'rickshaw & other stories ;Rudyard Kipling ; ;1925 ; ;
Mounted Cuttings of Five Short Stories by Rudyard Kipling. ;Rudyard Kipling ; ;1888 ; ;
Kipling and His First Publisher ;Rudyard Kipling ;Oak Knoll Press ;2001 ; ;
The Bombay Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ;1914 ; ;
The Jungle Book - Volume 1 ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-12-10 ;154084157X;
Jungle Book ;Rudyard Kipling ;CreateSpace ;2013-10 ;1492928062;
American Notes - Rudyard Kipling ;Rudyard Kipling ; ;2009-11-17 ;1449905773;
Jungle Book by Rudyard Kipling ;Rudyard Kipling ; ;2017-08-27 ;1975846214;
The Bombay Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ;1913 ; ;
The Works of Rudyard Kipling ;Rudyard Kipling ; ;2019-08-26 ;1688692258;
Second Jungle Book Rudyard Kipling ;Rudyard Kipling ; ;2021-12-04 ;9798778815711;
The Jungle Book ;Rudyard Rudyard Kipling ; ;2017-10-22 ;1975676033;
The Second Jungle Book ;Rudyard Rudyard Kipling ; ;2017-08-03 ;1521982333;
Second Jungle Book Rudyard Kipling ;Rudyard Kipling ; ;2021-12-04 ;9798778815711;
The Jungle Book ;Rudyard Rudyard Kipling ; ;2017-10-22 ;1975676033;
Just So Stories by Rudyard Kipling ;Rudyard Kipling ; ;2017-09-30 ;1977810918;
The Dominions Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ; ; ;
Unprofessional ;Rudyard Kipling ; ;1930 ; ;
The Second Jungle Book ;Rudyard Kipling ; ;2021-07-14 ;9798537566519;
Stalky and Co. (1899),by Rudyard Kipling (oxford World Classics) ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2016-04-27 ;1532964854;
A Choice of Kipling's Verse Made by T.S. Eliot, with an Essay on Rudyard Kipling ;Rudyard Kipling ; ;1945 ; ;
Just So Stories - Rudyard Kipling ;Rudyard Kipling ; ;2010-01-01 ;1450504744;
The Jungle Book by Rudyard Kipling Annotated Latest Book ;Rudyard Kipling ; ;2020-05-08 ;9798644207152;
Tales of the Trade ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2018-07-06 ;172172687X;
The Bombay Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ; ; ;
Just So Stories (1902) ;Rudyard Kipling ; ;2018-09-16 ;1723745820;
Just So Stories by Rudyard Kipling (Illustrated Edition) ;Rudyard Kipling ; ;2021-11-15 ;9798767528189;
Indian Tales ;Rudyard Rudyard Kipling ; ;2017-08-03 ;1521982341;
The Bombay Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ; ; ;
Ballads and Barrack-room Ballads ;Rudyard Kipling, Wolcott Balestier ;Createspace Independent Publishing Platform ;2017-02-05 ;1542942810;
The Mark of the Beast And Other Fantastical Tales ;Rudyard Kipling ;Gollancz ;2010-11-11 ;9780575086012;
The Second Jungle Book by Rudyard Kipling ;Rudyard Kipling ; ;2017-10-24 ;197905844X;
Stories by English Authors: Orient - Rudyard Kipling ;Rudyard Kipling ; ;2010-01-01 ;1450505635;
Kim by Rudyard Kipling ;Rudyard Kipling ; ;2017-09-30 ;1977810462;
The Jungle Book ;Rudyard Kipling ; ;2017-07-11 ;1548779016;
The Jungle Book (Annotated) Fantasy Children Book ;Rudyard Kipling ; ;2020-03-31 ;9798632679817;
The Jungle Book by Rudyard Kipling Annotated Latest Edition ;Rudyard Kipling ; ;2020-05-11 ;9798645137588;
The Jungle Book (Complete Edition) ;Rudyard Rudyard Kipling ; ;2016-06-26 ;1534895051;
The Bombay Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ;1913 ; ;
The Second Jungle Book Annotated ;Rudyard Kipling ; ;2020-09-23 ;9798689333106;
The Jungle Book by Rudyard Kipling Annotated Novel ;Rudyard Kipling ; ;2020-05-11 ;9798645137441;
The JUNGLE BOOK, RUDYARD KIPLING, LARGE 16 Point Print ;Rudyard Kipling ; ;2016-06-20 ;1534721088;
The Man Who Would Be King by Rudyard Kipling ;Rudyard Kipling ; ;2017-12-20 ;1981873678;
The Bombay Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ; ; ;
The Phantom Rickshaw and Other Ghost Stories ;Rudyard Kipling ; ;2016-12-17 ;1540676072;
Just So Stories Annotated ;Rudyard Kipling ; ;2020-10-14 ;9798697608319;
The Jungle Book by Rudyard Kipling Annotated Latest Novel ;Rudyard Kipling ; ;2020-05-11 ;9798645137489;
Captains Courageous: Illustrated Edition ;Rudyard Kipling ; ;2021-10-10 ;9798493569722;
The Phantom Rickshaw and Other Ghost Stories Rudyard Kipling ;Rudyard Kipling ;Createspace Independent Publishing Platform ;2017-03-16 ;1544736150;
Collected Works ;Rudyard Kipling ; ;2018 ;1790700124;
Just So Stories ;Rudyard Kipling ; ;2021-08-03 ;9798549286788;
Life's Handicap ;Rudyard Rudyard Kipling ; ;2017-12-17 ;1977704131;
Kim by Rudyard Kipling Unabridged 1901 Original Version ;Rudyard Kipling ; ;2017-07-30 ;1974016471;
Collected Works ;Rudyard Kipling ; ;2018 ;1790700124;
Soldiers Three and Military Tales ;Rudyard Kipling ; ;1899 ; ;
Stalky & [and] Co. ; Land and sea tales ;Rudyard Kipling ;Ams PressInc ;1941-12-01 ;0404037542;
Mine own people ;Rudyard Kipling ; ;19?? ; ;
Barrack Room Ballads ;Rudyard Kipling ;Independently Published ;2019-02 ;179562485X;
The Dream of Duncan Parrenness ;Rudyard Kipling ;CreateSpace ;2014-11-01 ;1503167569;
Just So Stories ;Rudyard Kipling ; ;2021-08-03 ;9798549286788;
Life's Handicap ;Rudyard Rudyard Kipling ; ;2017-12-17 ;1977704131;
Just So Stories ;Rudyard Kipling ;Independently Published ;2019-04-23 ;1095649027;
The Bombay Edition of the Works of Rudyard Kipling ;Rudyard Kipling ; ; ; ;
Soldiers Three - Rudyard Kipling ;Rudyard Kipling ; ;2010-01-01 ;1450506348;
Humorous Tales from Rudyard Kipling ;Rudyard Kipling ; ;1993 ;1858910803;
How the Elephant Got Its Trunk ;Jean Richards, Rudyard Kipling ;Macmillan ;2003-04 ;0805066993;
Rudyard Kipling - the Phantom Rickshaw and Other Ghost Stories ;Rudyard Kipling ; ;2016-12-17 ;1541148096;
Just So Stories for Little Children ;Rudyard Kipling ; ;1908 ; ;
The Second Jungle Book (Unabridged) ;Rudyard Kipling ; ;2021-08-09 ;9798452931492;
Rudyard Kipling:the Phantom 'Rickshaw and Other Ghost Stories:Illustrated Edition ;Rudyard Kipling ; ;2021-10-09 ;9798490117292;
Under the Deodars ;Rudyard Kipling ; ;2017-02-05 ;1542942160;
Kim Annotated and Unabridged ;Rudyard Kipling ; ;2021-12-18 ;9798786698382;
Wee Willie Winkie, and Other Stories, by Rudyard Kipling ;Rudyard Kipling ; ;1907 ; ;
Collected Stories ;Rudyard Kipling ;Everyman Chess ;1994 ;1857151992;
Rewards and Fairies ;Rudyard Kipling ; ;2017-06-29 ;1548410721;
The Phantom Rickshaw and Other Ghost Stories by Rudyard Kipling ;Rudyard Kipling ; ;2017-10-24 ;197905827X;
Captains Courageous ;Rudyard Kipling ; ;2014-01-22 ;1495283062;
The Juggle Book ;Rudyard Kipling ; ;2016-10-19 ;1539625982;
Kim Illustrated ;Rudyard Kipling ; ;2021-02-08 ;9798706273491;
The Man Who Would Be King Annotated ;Rudyard Kipling ; ;2021-07-25 ;9798543512524;
The Phantom Rickshaw and Other Ghost Stories Illustrated ;Rudyard Kipling ; ;2021-09-17 ;9798478834784;
Kipling's India ;Rudyard Kipling ; ;1986 ; ;
The Works of Rudyard Kipling ;Rudyard Kipling ;Wordsworth Editions ;1994 ;1853264059;
Kipling's Boys Stories ;Rudyard Kipling ; ;1899 ; ;
Rudyard Kipling's Jungle Book ;Rudyard Kipling ; ;1951 ; ;
The Works of Rudyard Kipling ;Rudyard Kipling ; ;1899 ; ;
Works of Rudyard Kipling ;Rudyard Kipling ; ;1907 ; ;
Rudyard Kipling's Just So Comics ;Rudyard Kipling, Sean Tulien ;Capstone ;2013 ;9781434248800;
Great Writers on The Great War Kipling's War ;Rudyard Kipling ;Amberley Publishing Limited ;2014-08-15 ;9781445640761;
The Works of Rudyard Kipling: Soldiers three. The story of the Gadsbys. In black and white ;Rudyard Kipling ; ;1899 ; ;
Compact Edition of Rudyard Kipling ... ;Rudyard Kipling ; ;1936 ; ;
Glossary to Accompany Departmental Ditties as Written by Rudyard Kipling ;Rudyard Kipling ; ;1899 ; ;
The Works of Rudyard Kipling: Soldiers three. The story of the Gadsbys. In black and white ;Rudyard Kipling ; ;1899 ; ;
Tales from Kipling Containing Many of the Plain Tales from the Hills ;Rudyard Kipling ; ; ; ;
Glossary to Accompany Departmental Ditties as Written by Rudyard Kipling ;Rudyard Kipling ; ;1899 ; ;
The Jungle Book by Rudyard Kipling - Delphi Classics (Illustrated) ;Rudyard Kipling ;Delphi Classics ;2017-07-17 ;9781788772556;
RUDYARD KIPLING PREMIUM COLLECTION: His Greatest Works in One Volume (Illustrated): The Jungle Book, The Man Who Would Be King, Just So Stories, Kim, The Light That Failed, Captain Courageous, Plain Tales from the Hills ;Rudyard Kipling ;e-artnow ;2015-08-27 ;9788026843887;
The Works of Rudyard Kipling: The jungle book ;Rudyard Kipling ; ;1894 ; ;
The Works of Rudyard Kipling: The days work ;Rudyard Kipling ; ;1899 ; ;
The Writings in Prose and Verse of Rudyard Kipling ;Rudyard Kipling ; ;1906 ; ;
Through the Year with Kipling ;Rudyard Kipling ; ;1899 ; ;
The Complete Barrack-room Ballads of Rudyard Kipling ;Rudyard Kipling ; ;1973 ; ;
Kipling ;Rudyard Kipling ; ;1956 ; ;
Rudyard Kipling ;Rudyard Kipling ;Oxford University Press, USA ;1999 ; ;
Kipling's America ;Rudyard Kipling ;ELT Press ;2003 ;0944318177;
Kipling's Kingdom ;Rudyard Kipling ;Michael Joseph ;1987 ; ;
Rudyard Kipling's Uncollected Speeches ;Rudyard Kipling ;Elt Press ;2008 ; ;
Kipling's English History ;Rudyard Kipling ;BBC Ne Publications ;1987 ;0563206136;
Kipling's Message ;Rudyard Kipling ; ;1918 ; ;
Great Kipling Stories ;Rudyard Kipling ; ;1936 ; ;
Collected Stories of Rudyard Kipling ;Rudyard Kipling ;Everyman's Library ;1994-10-18 ; ;
Kipling and His First Publisher ;Rudyard Kipling ;Oak Knoll Press ;2001 ; ;
The Letters of Rudyard Kipling: 1931-36 ;Rudyard Kipling ; ;1990 ; ;
Rudyard Kipling's (Medicine) Hat Trick ;Rudyard Kipling ; ;1965 ; ;
Kipling's Science Fiction ;Rudyard Kipling ;Thorndike Press ;1998 ;0783801696;
Kipling: [short Stories] ;Rudyard Kipling ; ;1960 ; ;
Best Short Stories of Rudyard Kipling ;Rudyard Kipling, Jeffrey Meyers ;Signet Classics ;1987 ;0451521404;
The Letters of Rudyard Kipling: 1900-10 ;Rudyard Kipling ; ;1990 ; ;
The Letters of Rudyard Kipling: 1890-99 ;Rudyard Kipling ;Iowa City, Iowa : University of Iowa Press ;1990 ; ;
The Letters of Rudyard Kipling: 1911-19 ;Rudyard Kipling ; ;1999 ; ;
Works of Rudyard Kipling ;Rudyard Kipling ; ;1925 ; ;
Poetry for Young People - Rudyard Kipling ;Rudyard Kipling ; ;2001 ;0439296315;
The Letters of Rudyard Kipling: 1920-30 ;Rudyard Kipling ; ;1990 ; ;
Rudyard Kipling's Verse ;Rudyard Kipling ; ;1928 ; ;
Yasunari Kawabata, Rudyard Kipling [and] Sinclair Lewis ;Rudyard Kipling, Sinclair Lewis ; ;1971 ; ;
Selected Stories from Kipling ;Rudyard Kipling ; ;1922 ; ;
Kipling's Pocket History of England ;Charles Robert Leslie Fletcher, Rudyard Kipling ;Random House Value Publishing ;1983 ;0517402459;
The Complete Supernatural Stories of Rudyard Kipling ;Rudyard Kipling ; ;1987 ; ;
Stories and Poems from Rudyard Kipling ;Rudyard Kipling ; ;1909 ; ;
Rudyard Kipling's The Elephant's Child ;Rudyard Kipling ;Grosset & Dunlap ;1988 ;0448343061;
Rudyard Kipling's Conversion to Prohibition ;Rudyard Kipling ; ;191? ; ;
The Barrack-room Ballads of Rudyard Kipling ;Rudyard Kipling ;Hearthstone Publications ;1995 ; ;
The Writings in Prose and Verse of Rudyard Kipling ;Rudyard Kipling ; ;1898 ; ;
The Works of Rudyard Kipling: Plain tales from the hills, with a biographical sketch, by Charles Eliot Norton, Rev. ed ;Rudyard Kipling ; ;1916 ; ;
The Writings in Prose and Verse of Rudyard Kipling: Land and sea tales ;Rudyard Kipling ; ;1937 ; ;
The Kipling Index ;Rudyard Kipling ; ;1914 ; ;
The Writings in Prose and Verse of Rudyard Kipling: Under the deodars. The story of the Gadsbys. Wee Willie Winkie ;Rudyard Kipling ; ;1916 ; ;
Early Verse by Rudyard Kipling, 1879-1889 ;Rudyard Kipling ;Oxford (Oxfordshire) : Clarendon Press ; New York : Oxford University Press ;1986 ; ;
Rudyard Kipling The Complete Verse ;Rudyard Kipling ;Kyle Books ;2006-03 ; ;
Sea and Sussex from Rudyard Kipling Verse ... ;Rudyard Kipling ; ;1926 ; ;
Songs of the Sea from Rudyard Kipling's Verse ;Rudyard Kipling ; ;1927 ; ;
The Writings in Prose and Verse of Rudyard Kipling: Something of myself. Index ;Rudyard Kipling ; ;1937 ; ;
Plain Tales from the Hills ;Rudyard Kipling ; ;1893 ; ;
Barrack Room Ballads ;Rudyard Kipling ;Read Books Ltd ;2015-06-08 ;9781473374997;
The Day's Work ;Rudyard Kipling ;United Holdings Group ;1898 ; ;
"Captains Courageous" ;Rudyard Kipling ; ;1899 ; ;
From Sea to Sea ;Rudyard Kipling ; ;1900 ; ;
From Sea to Sea, and Other Sketches ;Rudyard Kipling ; ;1900 ; ;
The Jungle Book ;Rudyard Kipling ; ;1894 ; ;
Barrack-room Ballads and Other Verses ;Rudyard Kipling ; ;1897 ; ;
Departmental ditties and ballads and barrack-room ballads ;Rudyard Kipling ; ;1899 ; ;
Kim ;Rudyard Kipling ; ;1901 ; ;
Puck of Pook's Hill ;Rudyard Kipling ; ;1906 ; ;
Ballads and Barrack-room Ballads ;Rudyard Kipling ; ;1893 ; ;
Soldiers Three ;Rudyard Kipling ; ;1890 ; ;
Mine Own People ;Rudyard Kipling ; ;1891 ; ;
Stalky & Co ;Rudyard Kipling ;NTC/Contemporary Publishing Company ;1994 ;1853261432;
Works ;Rudyard Kipling ; ;1925 ; ;
Mine Own People ;Rudyard Kipling ; ;1899 ; ;
Letters of travel. American notes ;Rudyard Kipling ; ;1907 ; ;
Mine own people; The courting of Dinah Shadd and other stories; American notes; Under the deodars and other tales; Departmental ditties; Barrack-room ballads and other verses ;Rudyard Kipling ; ;1900 ; ;
Under the Deodars ;Rudyard Kipling ; ;1890 ; ;
The Complete Stalky & Co ;Rudyard Kipling ;Oxford Paperbacks ;2009-02-26 ; ;
The Jungle Book ;Rudyard Kipling ;Oxford University Press, USA ;1987 ; ;
Kim ;Rudyard Kipling ;Bantam Classics ;1983 ; ;
Letters of travel, 1892-1927 ;Rudyard Kipling ; ;1970 ; ;
A book of words. Souvenirs of France. Something of myself ;Rudyard Kipling ; ;1970 ; ;
Selected Works ;Rudyard Kipling ; ;1900 ; ;
The phantom 'rickshaw ;Rudyard Kipling ; ;1919 ; ;
The Three Musketeers ;Rudyard Kipling ; ;1905 ; ;
Plain talets from the hills ;Rudyard Kipling ; ;1912 ; ;
The Writings in Prose and Verse: Debts and credits ;Rudyard Kipling ; ;1926 ; ;
The light that failed ;Rudyard Kipling ; ;1912 ; ;
The Writings in Prose and Verse: The Irish Guards in the great war. pt. 1. The first battalion ;Rudyard Kipling ; ;1923 ; ;
Works: Letters of Marque ;Rudyard Kipling ; ;189? ; ;
Under the Deodors ; The Phantom 'rickshaw ; Wee Willie Winkie ;Rudyard Kipling ; ;1918 ; ;
A Book of Words ;Rudyard Kipling ;London : Macmillan ;1928 ; ;
Soldiers three, and other stories ;Rudyard Kipling ; ;1912 ; ;
The story of the Gadsbys. In black and white ;Rudyard Kipling ; ;1919 ; ;
Recessional; And, The Moon of Other Days ;Rudyard Kipling ; ;1915 ; ;
City of the dreadful night [and other stories ;Rudyard Kipling ; ;1912 ; ;
The second jungle book ;Rudyard Kipling ; ;1899 ; ;
His Apologies ;Rudyard Kipling ; ;1932 ; ;
Just So Stories ;Rudyard Kipling ;Viking Juvenile ;1987 ;0670802425;
The Complete Verse ;Rudyard Kipling ;Kyle Cathie Limited ;1990 ; ;
Under the deodars ;Rudyard Kipling ; ;1919 ; ;
Plain tales from the hills; with a biographical sketch by Charles Eliot Norton ;Rudyard Kipling ; ;1926 ; ;
Twenty Poems ;Rudyard Kipling ; ;1918 ; ;
"Rikki-tikki-tavi." The white seal. The miracle of Purun Bhagat. The undertakers. Quiquern. Toomai of the elephants. Her Majesty's servants ;Rudyard Kipling ; ;1948 ; ;
The Benefactors ;Rudyard Kipling ; ;1912 ; ;
Letters of Marque ;Rudyard Kipling ; ;1907 ; ;
